iter	Passed	Remaining
351	597	1099
352	598	1097
353	599	1094
354	601	1092
355	602	1089
356	603	1087
357	605	1086
358	607	1084
359	608	1081
360	609	1079
361	611	1077
362	613	1075
363	614	1073
364	615	1071
365	616	1068
366	618	1066
367	619	1064
368	621	1062
369	622	1060
370	624	1058
371	625	1056
372	627	1054
373	628	1052
374	629	1049
375	631	1047
376	632	1044
377	633	1042
378	635	1040
379	636	1038
380	637	1036
381	639	1034
382	640	1032
383	642	1030
384	643	1027
385	644	1025
386	646	1023
387	647	1021
388	648	1018
389	650	1017
390	651	1015
391	653	1013
392	654	1011
393	656	1009
394	657	1007
395	659	1005
396	660	1002
397	661	1000
398	662	998
399	664	996
400	665	994
401	667	992
402	668	990
403	670	988
404	671	986
405	673	984
406	674	982
407	675	980
408	677	978
409	678	976
410	680	974
411	681	972
412	682	970
413	684	968
414	685	966
415	687	964
416	688	962
417	689	960
418	691	958
419	692	956
420	693	954
421	695	952
422	696	950
423	698	948
424	699	946
425	700	944
426	702	942
427	703	939
428	704	937
429	706	935
430	707	933
431	708	931
432	710	930
433	711	928
434	712	926
435	714	924
436	716	922
437	717	920
438	718	918
439	719	916
440	721	914
441	722	911
442	723	909
443	725	908
444	726	906
445	728	904
446	729	902
447	730	900
448	732	899
449	734	897
450	735	895
451	736	893
452	738	891
453	740	890
454	742	889
455	743	887
456	744	885
457	746	883
458	747	881
459	749	879
460	750	877
461	752	876
462	753	874
463	755	873
464	757	871
